time,hum_level
2022-05-09 21:22:18,50.23
2022-05-09 21:24:48,50.3
2022-05-09 21:27:18,50.33
2022-05-09 21:32:18,50.37
2022-05-09 21:37:18,50.41
2022-05-09 21:44:48,50.46
2022-05-09 21:49:48,50.48
2022-05-09 21:57:18,50.57
2022-05-09 22:02:18,50.62
2022-05-09 22:09:48,50.52
2022-05-09 22:14:48,50.44
2022-05-09 22:19:48,50.39
2022-05-09 22:27:18,50.28
2022-05-09 22:32:18,50.22
2022-05-09 22:37:18,50.16
2022-05-09 22:44:48,50.08
2022-05-09 22:49:48,50.06
2022-05-09 22:54:48,50.04
2022-05-09 23:07:18,49.99
2022-05-09 23:12:18,49.98
2022-05-09 23:17:18,49.99
2022-05-09 23:19:48,49.99
2022-05-09 23:24:48,50.02
2022-05-09 23:29:48,50.09
2022-05-09 23:37:18,50.25
2022-05-09 23:42:18,50.37
2022-05-09 23:44:48,50.44
2022-05-09 23:49:48,50.57
2022-05-09 23:54:48,50.65
2022-05-09 23:57:18,50.7
2022-05-10 00:04:48,50.87
2022-05-10 00:09:48,51.01
2022-05-10 00:19:48,51.32
2022-05-10 00:27:18,51.46
2022-05-10 00:34:48,51.59
2022-05-10 00:42:18,51.74
2022-05-10 00:44:48,51.75
2022-05-10 00:52:18,51.87
2022-05-10 00:59:48,51.99
2022-05-10 01:07:18,52.04
2022-05-10 01:09:48,52.0
2022-05-10 01:14:48,51.97
2022-05-10 01:17:18,51.93
2022-05-10 01:24:48,51.67
2022-05-10 01:32:18,51.26
2022-05-10 01:34:48,51.11
2022-05-10 01:42:18,50.74
2022-05-10 01:49:48,50.4
2022-05-10 01:54:48,50.22
2022-05-10 02:02:18,49.99
2022-05-10 02:07:18,49.87
2022-05-10 02:14:48,49.68
2022-05-10 02:19:48,49.75
2022-05-10 02:22:18,49.75
2022-05-10 02:27:18,49.71
2022-05-10 02:32:18,49.66
2022-05-10 02:34:48,49.63
2022-05-10 02:42:18,49.56
2022-05-10 02:44:48,49.51
2022-05-10 02:49:48,49.46
2022-05-10 02:54:48,49.36
2022-05-10 02:59:48,49.28
2022-05-10 03:04:48,49.14
2022-05-10 03:09:48,49.01
2022-05-10 03:12:18,48.98
2022-05-10 03:17:18,48.93
2022-05-10 03:24:48,48.92
2022-05-10 03:29:48,48.95
2022-05-10 03:34:48,48.91
2022-05-10 03:42:18,48.85
2022-05-10 03:47:18,48.84
2022-05-10 03:49:48,48.8
2022-05-10 03:54:48,48.76
2022-05-10 04:02:18,48.74
2022-05-10 04:14:48,48.73
2022-05-10 04:19:48,48.77
2022-05-10 04:27:18,48.8
2022-05-10 04:32:18,48.81
2022-05-10 04:39:48,48.89
2022-05-10 04:44:48,48.93
2022-05-10 04:49:49,48.95
2022-05-10 04:52:18,48.97
2022-05-10 04:57:18,49.01
2022-05-10 05:02:18,49.08
2022-05-10 05:04:48,49.1
2022-05-10 05:09:48,49.13
2022-05-10 05:12:18,49.16
2022-05-10 05:17:18,49.21
2022-05-10 05:19:48,49.26
2022-05-10 05:24:48,49.33
2022-05-10 05:34:48,49.42
2022-05-10 05:39:48,49.48
2022-05-10 05:44:48,49.54
2022-05-10 05:52:18,49.59
2022-05-10 05:57:18,49.58
2022-05-10 06:04:48,49.55
2022-05-10 06:09:48,49.57
2022-05-10 06:14:48,49.59
2022-05-10 06:22:18,49.68
2022-05-10 06:24:48,49.69
2022-05-10 06:29:48,49.75
2022-05-10 06:32:18,49.78
2022-05-10 06:37:18,49.78
2022-05-10 06:44:48,49.78
2022-05-10 06:49:48,49.82
2022-05-10 06:54:48,49.75
2022-05-10 07:02:18,49.71
2022-05-10 07:09:48,49.7
2022-05-10 07:17:18,49.75
2022-05-10 07:22:18,49.73
2022-05-10 07:24:48,49.75
2022-05-10 07:32:18,49.67
2022-05-10 07:37:18,49.66
2022-05-10 07:44:48,49.66
2022-05-10 07:49:48,49.63
2022-05-10 07:54:48,49.6
2022-05-10 08:04:48,49.6
2022-05-10 08:09:48,49.58
2022-05-10 08:17:18,49.63
2022-05-10 08:22:18,49.56
2022-05-10 08:24:48,49.51
2022-05-10 08:32:18,49.43
2022-05-10 08:37:18,49.42
2022-05-10 08:39:50,49.4
2022-05-10 08:42:18,49.42
2022-05-10 08:44:48,49.43
2022-05-10 08:49:48,49.49
2022-05-10 08:54:48,49.55
2022-05-10 09:02:18,49.64
2022-05-10 09:09:48,49.74
2022-05-10 09:17:18,49.75
2022-05-10 09:22:18,49.82
2022-05-10 09:29:48,49.94
2022-05-10 09:32:20,49.94
2022-05-10 09:37:18,49.89
2022-05-10 09:47:18,49.9
