time,pressure_level
2022-05-09 21:22:18,748.06
2022-05-09 21:24:48,748.08
2022-05-09 21:27:18,748.1
2022-05-09 21:32:18,748.03
2022-05-09 21:37:18,748.0
2022-05-09 21:42:18,747.89
2022-05-09 21:44:48,747.82
2022-05-09 21:49:48,747.86
2022-05-09 21:57:18,747.88
2022-05-09 22:02:18,748.01
2022-05-09 22:09:48,748.09
2022-05-09 22:14:48,748.19
2022-05-09 22:19:48,748.21
2022-05-09 22:24:48,748.24
2022-05-09 22:27:18,748.23
2022-05-09 22:32:18,748.25
2022-05-09 22:37:18,748.23
2022-05-09 22:42:18,748.18
2022-05-09 22:49:48,748.23
2022-05-09 22:54:48,748.25
2022-05-09 23:04:48,748.05
2022-05-09 23:07:18,748.02
2022-05-09 23:12:18,748.08
2022-05-09 23:17:18,747.98
2022-05-09 23:24:48,747.92
2022-05-09 23:29:48,747.85
2022-05-09 23:37:18,747.82
2022-05-09 23:42:18,747.75
2022-05-09 23:44:48,747.64
2022-05-09 23:49:48,747.64
2022-05-09 23:54:48,747.55
2022-05-10 00:02:18,747.59
2022-05-10 00:04:48,747.64
2022-05-10 00:09:48,747.69
2022-05-10 00:19:48,747.65
2022-05-10 00:27:18,747.54
2022-05-10 00:34:48,747.37
2022-05-10 00:44:48,747.19
2022-05-10 00:52:18,746.96
2022-05-10 00:59:48,746.89
2022-05-10 01:02:18,746.88
2022-05-10 01:07:18,746.8
2022-05-10 01:09:48,746.8
2022-05-10 01:17:18,746.71
2022-05-10 01:24:48,746.62
2022-05-10 01:32:18,746.48
2022-05-10 01:34:48,746.5
2022-05-10 01:42:18,746.5
2022-05-10 01:49:48,746.56
2022-05-10 01:54:48,746.6
2022-05-10 01:57:18,746.62
2022-05-10 02:02:18,746.6
2022-05-10 02:07:18,746.64
2022-05-10 02:09:48,746.66
2022-05-10 02:14:48,746.63
2022-05-10 02:22:18,746.58
2022-05-10 02:27:18,746.53
2022-05-10 02:32:18,746.52
2022-05-10 02:34:48,746.51
2022-05-10 02:44:48,746.45
2022-05-10 02:49:48,746.31
2022-05-10 02:54:48,746.29
2022-05-10 02:59:48,746.27
2022-05-10 03:04:48,746.22
2022-05-10 03:12:18,746.32
2022-05-10 03:17:18,746.28
2022-05-10 03:19:48,746.29
2022-05-10 03:24:48,746.25
2022-05-10 03:29:48,746.23
2022-05-10 03:34:48,746.23
2022-05-10 03:37:18,746.27
2022-05-10 03:39:48,746.25
2022-05-10 03:42:18,746.23
2022-05-10 03:47:18,746.22
2022-05-10 03:49:48,746.19
2022-05-10 03:54:48,746.17
2022-05-10 03:59:48,746.22
2022-05-10 04:02:18,746.26
2022-05-10 04:07:18,746.24
2022-05-10 04:14:48,746.34
2022-05-10 04:19:48,746.41
2022-05-10 04:24:48,746.39
2022-05-10 04:32:18,746.52
2022-05-10 04:37:18,746.49
2022-05-10 04:39:48,746.51
2022-05-10 04:44:48,746.55
2022-05-10 04:49:49,746.58
2022-05-10 04:57:18,746.77
2022-05-10 05:02:18,746.75
2022-05-10 05:09:48,746.73
2022-05-10 05:12:18,746.76
2022-05-10 05:17:18,746.84
2022-05-10 05:24:48,746.85
2022-05-10 05:32:18,746.88
2022-05-10 05:37:18,746.86
2022-05-10 05:39:48,746.89
2022-05-10 05:44:48,746.88
2022-05-10 05:49:48,746.91
2022-05-10 05:57:18,746.92
2022-05-10 06:02:18,746.96
2022-05-10 06:09:48,747.02
2022-05-10 06:14:48,747.06
2022-05-10 06:22:18,747.11
2022-05-10 06:29:48,747.13
2022-05-10 06:37:18,747.22
2022-05-10 06:44:48,747.26
2022-05-10 06:49:48,747.33
2022-05-10 06:54:48,747.39
2022-05-10 07:02:18,747.48
2022-05-10 07:07:18,747.51
2022-05-10 07:14:48,747.53
2022-05-10 07:17:18,747.56
2022-05-10 07:22:18,747.63
2022-05-10 07:24:48,747.61
2022-05-10 07:32:18,747.75
2022-05-10 07:37:18,747.76
2022-05-10 07:42:18,747.74
2022-05-10 07:44:48,747.78
2022-05-10 07:49:48,747.78
2022-05-10 07:54:48,747.88
2022-05-10 08:02:18,747.87
2022-05-10 08:09:48,747.8
2022-05-10 08:17:18,747.8
2022-05-10 08:22:18,747.87
2022-05-10 08:24:48,747.92
2022-05-10 08:29:48,747.91
2022-05-10 08:37:18,747.97
2022-05-10 08:39:50,747.97
2022-05-10 08:42:18,747.96
2022-05-10 08:49:48,748.02
2022-05-10 08:54:48,748.02
2022-05-10 09:02:18,748.03
2022-05-10 09:09:48,747.95
2022-05-10 09:14:48,747.91
2022-05-10 09:22:18,747.85
2022-05-10 09:29:48,747.79
2022-05-10 09:32:20,747.75
2022-05-10 09:37:18,747.67
2022-05-10 09:42:18,747.68
2022-05-10 09:47:18,747.69
2022-05-10 09:52:18,747.65
2022-05-10 09:59:48,747.6
